protocol,dataset,strict,variant,seed,mse,mae,n,apn_seed_mse,relative_mse_gain_vs_apn
strict_ushcn,USHCN,true,V01,2028,0.21366082129067157,0.2895905524391033,368,0.21222504754697055,-0.006765335950193378
strict_ushcn,USHCN,true,V02,2024,0.18046727754278183,0.2903884367624414,368,0.16356605542481975,-0.10332964302443808
strict_ushcn,USHCN,true,V02,2025,0.20199928312915896,0.2949017232674874,368,0.17153169211403857,-0.17762076873155763
strict_ushcn,USHCN,true,V02,2026,0.1786613228367912,0.28206548751989863,368,0.1668238433273194,-0.07095795944615599
strict_ushcn,USHCN,true,V02,2027,0.3313449590030122,0.32830578829832474,368,0.1927870139275735,-0.7187099496623375
strict_ushcn,USHCN,true,V02,2028,0.23332509135499774,0.2828976477638049,368,0.21222504754697055,-0.0994229665721113
strict_ushcn,USHCN,true,V03,2024,0.16430047828235353,0.28117742233545234,368,0.16356605542481975,-0.004490068893734146
strict_ushcn,USHCN,true,V03,2025,0.1833047376811446,0.27868568601653626,368,0.17153169211403857,-0.0686348127393218
strict_ushcn,USHCN,true,V03,2026,0.1666787549128614,0.26482885911979753,368,0.1668238433273194,0.0008697102977858526
strict_ushcn,USHCN,true,V03,2027,0.19011723604665653,0.2957580092606013,368,0.1927870139275735,0.013848328404111019
strict_ushcn,USHCN,true,V03,2028,0.22993363867970243,0.28559443771677173,368,0.21222504754697055,-0.08344251226431007
strict_ushcn,USHCN,true,V07,2024,0.23626159776298347,0.3081162464210217,368,0.16356605542481975,-0.4444414958186538
strict_ushcn,USHCN,true,V07,2025,0.27856631469446025,0.3141910790204451,368,0.17153169211403857,-0.6239932764684812
strict_ushcn,USHCN,true,V07,2026,0.2298454436156303,0.3044535884033868,368,0.1668238433273194,-0.37777333881859065
strict_ushcn,USHCN,true,V07,2027,1.0512172207180033,0.39322877699020825,368,0.1927870139275735,-4.452738746775372
strict_ushcn,USHCN,true,V07,2028,0.3148103671206067,0.31023600904312765,368,0.21222504754697055,-0.4833798873383763
strict_ushcn,USHCN,true,V08,2024,0.2324896470736959,0.29581085131687124,368,0.16356605542481975,-0.421380777752849
strict_ushcn,USHCN,true,V08,2025,0.2764935501741556,0.3109480619592511,368,0.17153169211403857,-0.6119094189914233
strict_ushcn,USHCN,true,V08,2026,0.22901223194074027,0.28840087074659887,368,0.1668238433273194,-0.3727787789387106
